Soil_Type,Crop_Type,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Fertilizer_Name,Fertilizer_Amount_kg_acre
Sandy Loam,Rice (Paddy),Puncha (Summer),4.6,47,78,118,Urea,122.68
Laterite Soil,Rubber,Virippu (Kharif),5.6,53,72,53,Urea,175.1
Sandy Loam,Cardamom,Puncha (Summer),6.0,85,69,29,20-20-20,139.46
Laterite Soil,Rice (Paddy),Mundakan (Rabi),7.5,101,47,64,Potash,154.03
Sandy Loam,Coconut,Puncha (Summer),6.1,24,51,101,Urea,193.56
Forest Loam,Rubber,Virippu (Kharif),4.6,109,58,68,18-18-18,147.58
Laterite Soil,Rice (Paddy),Mundakan (Rabi),5.2,83,37,36,DAP,152.68
Forest Loam,Cardamom,Puncha (Summer),6.0,72,75,97,Potash,139.6
Laterite Soil,Coconut,Mundakan (Rabi),6.8,86,76,105,20-20-20,153.03
Laterite Soil,Coconut,Puncha (Summer),6.9,29,10,122,Urea,192.79
Sandy Loam,Rice (Paddy),Mundakan (Rabi),6.8,29,34,144,Urea,167.73
Coastal Alluvium,Coconut,Virippu (Kharif),6.3,61,64,116,20-20-20,177.21
Laterite Soil,Pepper,Mundakan (Rabi),6.2,96,37,40,20-20-20,157.16
Laterite Soil,Cashew,Puncha (Summer),4.7,57,17,138,Factamfos,159.69
Laterite Soil,Banana,Puncha (Summer),4.8,77,57,99,Urea,158.88
Sandy Loam,Pepper,Mundakan (Rabi),6.4,37,49,28,18-18-18,150.15
Sandy Loam,Cashew,Puncha (Summer),5.7,59,68,147,Urea,148.24
Forest Loam,Banana,Puncha (Summer),6.7,77,55,141,Urea,121.02
Sandy Loam,Cardamom,Puncha (Summer),5.4,62,52,68,20-20-20,170.94
Laterite Soil,Rice (Paddy),Virippu (Kharif),4.7,27,10,26,Urea,163.73
Coastal Alluvium,Coconut,Puncha (Summer),4.7,109,25,68,Potash,187.52
Forest Loam,Coconut,Virippu (Kharif),5.6,22,49,146,Urea,158.34
Forest Loam,Cardamom,Puncha (Summer),4.7,26,42,45,DAP,189.09
Coastal Alluvium,Rice (Paddy),Virippu (Kharif),5.7,85,27,58,DAP,160.15
Laterite Soil,Pepper,Mundakan (Rabi),5.4,29,37,27,DAP,186.37
Laterite Soil,Banana,Virippu (Kharif),6.4,79,63,72,Potash,154.95
Laterite Soil,Rice (Paddy),Mundakan (Rabi),6.5,27,26,61,Urea,179.11
Forest Loam,Rice (Paddy),Puncha (Summer),7.1,28,69,43,Urea,167.73
Sandy Loam,Cardamom,Virippu (Kharif),4.6,50,34,21,DAP,154.08
Laterite Soil,Coconut,Puncha (Summer),4.7,54,70,43,Potash,177.42
Sandy Loam,Coconut,Puncha (Summer),6.8,27,23,147,Urea,175.3
Laterite Soil,Coconut,Mundakan (Rabi),6.6,30,55,72,Potash,198.11
Laterite Soil,Coconut,Puncha (Summer),5.3,104,20,97,20-20-20,171.21
Laterite Soil,Cardamom,Virippu (Kharif),6.7,54,78,94,18-18-18,117.62
Laterite Soil,Cardamom,Virippu (Kharif),6.1,35,57,130,20-20-20,145.86
Laterite Soil,Rice (Paddy),Mundakan (Rabi),4.6,32,17,149,Urea,147.39
Coastal Alluvium,Coconut,Mundakan (Rabi),5.4,100,25,70,Potash,197.27
Red Soil,Coconut,Mundakan (Rabi),6.8,43,43,95,Urea,186.54
Forest Loam,Rice (Paddy),Mundakan (Rabi),5.0,56,75,107,Urea,140.7
Laterite Soil,Rice (Paddy),Mundakan (Rabi),5.2,67,77,32,Potash,179.84
Forest Loam,Rice (Paddy),Virippu (Kharif),7.0,95,27,51,DAP,155.65
Red Soil,Rice (Paddy),Virippu (Kharif),4.7,45,11,30,Urea,199.29
Coastal Alluvium,Rubber,Virippu (Kharif),6.4,104,21,147,18-18-18,176.91
